time,price,change,volume,pattern,target
2021-03-27 04:31:33,121.21,+0.62 (+0.51%),"94,071,234",[],152.06
2021-03-27 04:31:33,469.09,+18.10 (+4.01%),"3,615,888",[],565.37
2021-03-27 04:31:33,283.02,+4.28 (+1.54%),"16,664,212",[],338.05
2021-03-27 04:31:33,256.77,+6.02 (+2.40%),"5,654,855",[],275.00
2021-03-27 04:31:33,61.26,+0.06 (+0.10%),"15,034,992",[],69.40
2021-03-27 04:31:33,241.03,+6.79 (+2.90%),"8,217,621",[],306.60
2021-03-27 04:31:33,"3,052.03",+5.77 (+0.19%),"2,976,690",[],"3,999.36"
2021-03-27 04:32:55,236.48,+4.14 (+1.78%),"25,479,853",[],272.71
2021-03-27 04:32:55,121.21,+0.62 (+0.51%),"94,071,234",[],152.06
2021-03-27 04:32:55,469.09,+18.10 (+4.01%),"3,615,888",[],565.37
2021-03-27 04:32:55,283.02,+4.28 (+1.54%),"16,664,212",[],338.05
2021-03-27 04:32:55,256.77,+6.02 (+2.40%),"5,654,855",[],275.00
2021-03-27 04:32:55,61.26,+0.06 (+0.10%),"15,034,992",[],69.40
2021-03-27 04:32:55,241.03,+6.79 (+2.90%),"8,217,621",[],306.60
2021-03-27 04:32:55,"3,052.03",+5.77 (+0.19%),"2,976,690",[],"3,999.36"
2021-03-27 04:33:13,236.48,+4.14 (+1.78%),"25,479,853",[],272.71
2021-03-27 04:33:13,121.21,+0.62 (+0.51%),"94,071,234",[],152.06
2021-03-27 04:33:13,469.09,+18.10 (+4.01%),"3,615,888",[],565.37
2021-03-27 04:33:13,283.02,+4.28 (+1.54%),"16,664,212",[],338.05
2021-03-27 04:33:13,256.77,+6.02 (+2.40%),"5,654,855",[],275.00
2021-03-27 04:33:13,61.26,+0.06 (+0.10%),"15,034,992",[],69.40
2021-03-27 04:33:13,241.03,+6.79 (+2.90%),"8,217,621",[],306.60
2021-03-27 04:33:13,"3,052.03",+5.77 (+0.19%),"2,976,690",[],"3,999.36"
2021-03-27 04:33:33,236.48,+4.14 (+1.78%),"25,479,853",[],272.71
2021-03-27 04:33:33,121.21,+0.62 (+0.51%),"94,071,234",[],152.06
2021-03-27 04:33:33,469.09,+18.10 (+4.01%),"3,615,888",[],565.37
2021-03-27 04:33:33,283.02,+4.28 (+1.54%),"16,664,212",[],338.05
2021-03-27 04:33:33,256.77,+6.02 (+2.40%),"5,654,855",[],275.00
2021-03-27 04:33:33,61.26,+0.06 (+0.10%),"15,034,992",[],69.40
2021-03-27 04:33:33,241.03,+6.79 (+2.90%),"8,217,621",[],306.60
2021-03-27 04:33:33,"3,052.03",+5.77 (+0.19%),"2,976,690",[],"3,999.36"
2021-03-27 04:33:52,236.48,+4.14 (+1.78%),"25,479,853",[],272.71
2021-03-27 04:33:52,121.21,+0.62 (+0.51%),"94,071,234",[],152.06
2021-03-27 04:33:52,469.09,+18.10 (+4.01%),"3,615,888",[],565.37
2021-03-27 04:33:52,283.02,+4.28 (+1.54%),"16,664,212",[],338.05
2021-03-27 04:33:52,256.77,+6.02 (+2.40%),"5,654,855",[],275.00
2021-03-27 04:33:52,61.26,+0.06 (+0.10%),"15,034,992",[],69.40
2021-03-27 04:33:52,241.03,+6.79 (+2.90%),"8,217,621",[],306.60
2021-03-27 04:33:52,"3,052.03",+5.77 (+0.19%),"2,976,690",[],"3,999.36"
2021-03-27 04:34:10,236.48,+4.14 (+1.78%),"25,479,853",[],272.71
2021-03-27 04:34:10,121.21,+0.62 (+0.51%),"94,071,234",[],152.06
2021-03-27 04:34:10,469.09,+18.10 (+4.01%),"3,615,888",[],565.37
2021-03-27 04:34:10,283.02,+4.28 (+1.54%),"16,664,212",[],338.05
2021-03-27 04:34:10,256.77,+6.02 (+2.40%),"5,654,855",[],275.00
2021-03-27 04:34:10,61.26,+0.06 (+0.10%),"15,034,992",[],69.40
2021-03-27 04:34:10,241.03,+6.79 (+2.90%),"8,217,621",[],306.60
2021-03-27 04:34:10,"3,052.03",+5.77 (+0.19%),"2,976,690",[],"3,999.36"
2021-03-27 04:34:31,236.48,+4.14 (+1.78%),"25,479,853",[],272.71
2021-03-27 04:34:31,121.21,+0.62 (+0.51%),"94,071,234",[],152.06
2021-03-27 04:34:31,469.09,+18.10 (+4.01%),"3,615,888",[],565.37
2021-03-27 04:34:31,283.02,+4.28 (+1.54%),"16,664,212",[],338.05
2021-03-27 04:34:31,256.77,+6.02 (+2.40%),"5,800,692",[],275.00
2021-03-27 04:34:31,61.26,+0.06 (+0.10%),"15,034,992",[],69.40
2021-03-27 04:34:31,241.03,+6.79 (+2.90%),"8,217,621",[],306.60
2021-03-27 04:34:31,"3,052.03",+5.77 (+0.19%),"2,976,690",[],"3,999.36"
2021-03-27 04:34:58,236.48,+4.14 (+1.78%),"25,479,853",[],272.71
2021-03-27 04:34:58,121.21,+0.62 (+0.51%),"94,071,234",[],152.06
2021-03-27 04:34:58,469.09,+18.10 (+4.01%),"3,615,888",[],565.37
2021-03-27 04:34:58,283.02,+4.28 (+1.54%),"16,664,212",[],338.05
